"id","faculty_name","faculty_designation","faculty_organisation","faculty_linkedin","image_name","added_date","modified_date","status"
"169","Mike Bienenfeld","Partner at Linklaters, London, over 22 years of experience advising on equity and debt capital markets, cross-border M&A and SEC compliance. Advised on transactions for transformational M&A and IPOs o",NULL,"https://www.linkedin.com/in/mike-bienenfeld-0b214b17/","mike-bienenfeld-1630138128.jpg","1630138128",NULL,"A"
"170","Svetlana Kamyshanskaya","San Francisco, Attorney and Startup Advisor, Primum Law Group, San Francisco",NULL,"https://www.linkedin.com/in/svetlanakamyshanskaya/","svetlana-kamyshanskaya-1630138173.jpg","1630138173",NULL,"A"
"171","Vivienne (燕) Yan Wei","Singapore, Partner, Blue Merlion Partners (focus on cross-border M&A involving China)",NULL,"https://www.linkedin.com/in/vivienne-燕-yan-wei-3706301/","vivienne--yan-wei-1630138337.jpg","1630138337",NULL,"A"
"172","Matúš Huba","Data Privacy Advisor at Squire Patton Boggs, Brussels, Belgium",NULL,"https://www.linkedin.com/in/matúš-huba-4a1671a5/","mat-huba-1630138395.jpg","1630138395",NULL,"A"
"173","Besma Grifat-Spackman","Associate at Gibson, Dunn & Crutcher UK LLP, London, UK experienced in International Arbitration",NULL,"https://www.linkedin.com/in/besma-grifat-spackman-70859aa/","besma-grifatspackman-1630138464.jpg","1630138464",NULL,"A"
"174","Maria Samara","Data Privacy Analyst at Tesla, Rotterdam, Netherlands EU Qualified Lawyer",NULL,"https://www.linkedin.com/in/maria-samara/","maria-samara-1630138514.jpg","1630138514",NULL,"A"
"175","Niyati Jigyasi","Tax Analyst at Amazon Headquarters in Seattle, US",NULL,"https://www.linkedin.com/in/niyati-jigyasi/","niyati-jigyasi-1630138566.jpg","1630138566","1689448668","P"
"176","Karan Shukla","Financial Controller and Company Secretary, ITC Infotech, ACA(ICAEW), ACMA & CGMA (CIMA), ACA(ICAI), Finance Professional with over 13 years of experience in Financial Reporting, Taxation, FP&A, Trans",NULL,"https://www.linkedin.com/in/karan-shukla-87573ab/","karan-shukla-1630138634.jpg","1630138634",NULL,"A"
"177","Tanya Chaudhary","Transfer Pricing Analyst, OpenText,  Transfer Pricing and Taxation professional, Canada",NULL,"https://www.linkedin.com/in/tanchaudhary/","tanya-chaudhary-1630138681.jpg","1630138681",NULL,"A"
"178","Sonal Goel","Senior Associate, Remfry & Sagar, IP",NULL,"https://www.linkedin.com/in/sonal-goel-457461118/","sonal-goel-1630138738.jpg","1630138738",NULL,"A"
"179","Apeksha Mattoo","Counsel at AZB & Partners, Mumbai, Corporate Law, Employment & Immigration",NULL,"https://www.linkedin.com/in/apeksha-mattoo-b2a7a811/","Not_Given","1630141695",NULL,"A"
"180","Sriranjini Garegrat","LLM from Queen Mary University of London",NULL,"https://www.linkedin.com/in/sriranjini-garegrat-46825631/","sriranjini-garegrat-1630146126.jpg","1630146126",NULL,"A"
"181","Nubee Naved","LLM from University of Toronto",NULL,"https://www.linkedin.com/in/nubee-naved-097567137/","nubee-naved-1630146212.jpg","1630146212",NULL,"A"
"182","Mukulika Baghel","Senior Associate and Course Anchor for Introduction to Practical Contract Drafting.",NULL,"https://www.linkedin.com/in/mukulika-baghel-53a06552/","mukulika-baghel-1633098176.jpg","1633098176","1633105467","A"
"183","Harshvardhan Gaur","Associate at LawSikho | LLM Graduate from NLU Delhi (Business Laws), worked as a student editor for WTO. Selected candidate - CLAT PG (AIR 170), AILET PG (AIR 55), BLAT PG (AIR 35) and IIT Kharagpur P",NULL,"LLM Graduate from NLU Delhi (Business Laws), worked as a student editor for WTO. Selected candidate - CLAT PG (AIR 170), AILET PG (AIR 55), BLAT PG (AIR 35) and IIT Kharagpur PG","harshvardhan-gaur-1637837611.jpg","1637837611","1637840063","A"
"184","हर्ष जैन","सह-संस्थापक (लॉ सिखो), मेंटर , ज्यूडिशरी  और प्रतियोगी परीक्षा के अनुभवी  प्रशिक्षक, यूजीसी-नेट जेआरएफ स्कॉलर, राजस्थान की ज्यूडिशरी  में सफलता, हर्ष जैन ने व्यक्तिगत रूप से 8 वर्षों की अवधि में राजस्थान और महाराष्ट्र, गुजरात, यूपी, झारखंड, पंजाब, कर्नाटक, एमपी में ज्यूडिशरी  परीक्षाओं को सफलतापूर्वक उत्तीर्ण करने के लिए 50 से अधिक उम्मीदवारों को प्रशिक्षित किया है।",NULL,,"--1637910500.png","1637910500","1637929608","A"
"185","श्वेता कुमार देवगन","श्वेता कुमार देवगन हेड टेस्ट प्रेप कोर्स, लॉ सिखो । ये एनएलएस, बैंगलोर के पूर्व छात्र है। इन्होंने यूपीएससी मेन्स पास किया और कई आईएएस, आईपीएस, आईएफएस और पीसीएस अधिकारियों को प्रशिक्षित किया है।",NULL,,"---1637910758.png","1637910758","1637929639","A"
"186","प्रदीप यादव","प्रदीप यादव, राजस्थान उच्च न्यायालय, जयपुर में वकालत करने वाले अधिवक्ता है। ये एनएलएस, बैंगलोर के पूर्व छात्र है। प्रदीप यादव ने दो बार राजस्थान ज्यूडिशरी मुख्य परीक्षा उत्तीर्ण की। प्रदीप यादव संवैधानिक कानून, अनुबंध कानून, साक्ष्य अधिनियम, राजस्थान किराया नियंत्रण अधिनियम आदि पढ़ाएंगे।",NULL,,"--1637910787.png","1637910787","1637929666","A"
"187","महेंद्र बंगेजा","महेंद्र बंगेजा, मुंबई उच्च न्यायालय में वकालत करने वाले अधिवक्ता है;  इन्होने पहले भारत के सर्वोच्च न्यायालय में लॉ क्लर्क के रूप में कार्य किया; महेंद्र बंगेजा ने मध्य प्रदेश, दिल्ली, राजस्थान में ज्यूडिशरी मुख्य परीक्षा उत्तीर्ण की ; आपराधिक प्रक्रिया संहिता और भारतीय दंड संहिता आदि पढ़ाएंगे।",NULL,,"--1637910828.png","1637910828","1637929813","A"
"188","महिमा खुराना","महिमा खुराना, उत्तरांचल विश्वविद्यालय से स्नातक है। इन्होंने एच.पी. प्रीलिम्स (2018) उत्तीर्ण किया है। शिक्षक और मेंटर दोनों की भूमिका निभाती हैं",NULL,,"--1637910867.png","1637910867","1637929823","A"
"189","गरिमा चोपड़ा","गरिमा चोपड़ा  जिंदल ग्लोबल यूनिवर्सिटी से स्नातक है, इन्होंने छत्तीसगढ़ मुख्य परीक्षा उत्तीर्ण की है। इनके द्वारा सिविल प्रोसीजर कोड, स्पेसिफिक रिलीफ एक्ट, लिमिटेशन एक्ट और ट्रांसफर ऑफ प्रॉपर्टी एक्ट पढ़ाया जाएगा।",NULL,,"--1637910901.png","1637910901","1637929842","A"
"190","Unnat Akhouri","Faculty",NULL,"https://www.linkedin.com/in/unnatakhouri/","unnat-akhouri-1641808723.jpeg","1641808723",NULL,"A"
"191","Sheva Khan","GK & CURRENT AFFAIRS Faculty",NULL,"https://www.linkedin.com/in/sheva-khan-3845711b9/","sheva-khan-1641808917.jpeg","1641808917",NULL,"A"
"192","Sapna Sarda","Principal Associate at LawSikho | Founder @ Legal Recourse | Corporate Lawyer | Associate Company Secretary",NULL,"https://www.linkedin.com/in/sapna-sarda-788591174/","sapna-sarda-1642079610.jpeg","1642079610",NULL,"A"
"193","Harman Saini","CPO at Lawsikho, Former Unacademy  HR manager",NULL,"https://www.linkedin.com/in/harman-saini-177b566b/","harman-saini-1642086714.jpeg","1642086714",NULL,"A"
"194","Aanchal Basur","International Arbitration Counsel, Partner, AB Law, ICC YAF Representative.",NULL,"https://www.linkedin.com/in/aanchal-basur-480067153/","aanchal-basur-1645200147.jpeg","1645199443","1645200147","A"
