"id","course_industry_id","course_id","industries_id","status","added_date","modified_date"
"598","15","16","1","A","1626952521",NULL
"599","15","16","6","A","1626952521",NULL
"600","15","16","7","A","1626952521",NULL
"601","15","16","8","A","1626952521",NULL
"602","15","16","9","A","1626952521",NULL
"603","15","16","21","A","1626952521",NULL
"604","62","147","1","A","1627114913",NULL
"605","62","147","6","A","1627114913",NULL
"606","62","147","7","A","1627114913",NULL
"607","62","147","8","A","1627114913",NULL
"608","62","147","9","A","1627114913",NULL
"609","62","147","19","A","1627114913",NULL
"610","62","147","20","A","1627114913",NULL
"611","62","147","21","A","1627114913",NULL
"612","62","147","33","A","1627114913",NULL
"613","63","148","6","A","1627121981",NULL
"614","63","148","7","A","1627121981",NULL
"615","63","148","9","A","1627121981",NULL
"616","63","148","27","A","1627121981",NULL
"617","63","148","28","A","1627121981",NULL
"618","63","148","29","A","1627121981",NULL
"619","63","148","30","A","1627121981",NULL
"620","63","148","31","A","1627121981",NULL
"621","63","148","37","A","1627121981",NULL
"622","64","152","6","A","1628851929",NULL
"623","64","152","7","A","1628851929",NULL
"624","64","152","8","A","1628851929",NULL
"625","64","152","9","A","1628851929",NULL
"626","64","152","32","A","1628851929",NULL
"627","64","152","36","A","1628851929",NULL
"630","65","153","1","A","1632379553",NULL
"631","65","153","7","A","1632379553",NULL
"641","66","180","2","A","1645200266",NULL
"642","66","180","5","A","1645200266",NULL
"643","66","180","8","A","1645200266",NULL
"644","66","180","19","A","1645200266",NULL
"645","66","180","25","A","1645200266",NULL
"646","66","180","32","A","1645200266",NULL
"647","66","180","33","A","1645200266",NULL
"648","66","180","34","A","1645200266",NULL
"649","66","180","38","A","1645200266",NULL
"650","67","182","1","A","1645315984",NULL
"651","67","182","6","A","1645315984",NULL
"652","67","182","7","A","1645315984",NULL
"653","67","182","8","A","1645315984",NULL
"654","67","182","9","A","1645315984",NULL
"655","68","225","1","A","1683113359",NULL
"656","68","225","6","A","1683113359",NULL
"657","68","225","7","A","1683113359",NULL
"658","68","225","8","A","1683113359",NULL
"659","68","225","9","A","1683113359",NULL
"660","68","225","21","A","1683113359",NULL
"677","5","5","1","A","1687943135",NULL
"678","5","5","6","A","1687943135",NULL
"679","5","5","7","A","1687943135",NULL
"680","5","5","8","A","1687943135",NULL
"681","5","5","9","A","1687943135",NULL
"682","5","5","18","A","1687943135",NULL
"683","5","5","23","A","1687943135",NULL
"684","5","5","36","A","1687943135",NULL
"685","5","5","41","A","1687943135",NULL
"686","25","2","1","A","1690205282",NULL
"687","25","2","2","A","1690205282",NULL
"688","25","2","3","A","1690205282",NULL
"689","25","2","4","A","1690205282",NULL
"690","25","2","5","A","1690205282",NULL
"691","25","2","6","A","1690205282",NULL
"692","25","2","7","A","1690205282",NULL
"693","25","2","8","A","1690205282",NULL
"694","25","2","9","A","1690205282",NULL
"695","25","2","12","A","1690205282",NULL
"696","25","2","19","A","1690205282",NULL
"697","25","2","20","A","1690205282",NULL
"698","25","2","21","A","1690205282",NULL
"699","25","2","22","A","1690205282",NULL
"700","25","2","32","A","1690205282",NULL
"701","25","2","33","A","1690205282",NULL
"719","10","9","3","A","1695286123",NULL
"720","10","9","11","A","1695286123",NULL
"721","10","9","13","A","1695286123",NULL
"722","10","9","14","A","1695286123",NULL
"723","10","9","15","A","1695286123",NULL
"724","10","9","16","A","1695286123",NULL
"725","10","9","17","A","1695286123",NULL
"726","10","9","18","A","1695286123",NULL
"727","10","9","19","A","1695286123",NULL
"728","10","9","20","A","1695286123",NULL
"729","59","143","3","A","1695549775",NULL
"730","59","143","8","A","1695549775",NULL
"731","59","143","15","A","1695549775",NULL
"732","59","143","16","A","1695549775",NULL
"733","59","143","20","A","1695549775",NULL
"734","59","143","21","A","1695549775",NULL
"735","59","143","24","A","1695549775",NULL
"736","59","143","25","A","1695549775",NULL
"737","59","143","26","A","1695549775",NULL
"738","59","143","34","A","1695549775",NULL
"739","59","143","35","A","1695549775",NULL
"740","59","143","36","A","1695549775",NULL
"746","49","95","1","A","1715078021",NULL
"747","49","95","6","A","1715078021",NULL
"748","49","95","8","A","1715078021",NULL
"749","49","95","19","A","1715078021",NULL
"750","49","95","20","A","1715078021",NULL
"751","49","95","33","A","1715078021",NULL
"752","49","95","34","A","1715078021",NULL
"753","49","95","37","A","1715078021",NULL
"754","71","273","1","A","1717672577",NULL
"755","71","273","6","A","1717672577",NULL
"756","71","273","7","A","1717672577",NULL
"757","71","273","8","A","1717672577",NULL
"758","71","273","9","A","1717672577",NULL
"759","52","101","19","A","1724333907",NULL
"760","52","101","21","A","1724333907",NULL
"761","52","101","34","A","1724333907",NULL
"762","52","101","40","A","1724333907",NULL
"763","52","101","41","A","1724333907",NULL
"764","52","101","42","A","1724333907",NULL
"765","52","101","43","A","1724333907",NULL
"766","52","101","46","A","1724333907",NULL
"767","72","299","19","A","1724398443",NULL
"768","72","299","21","A","1724398443",NULL
"769","72","299","34","A","1724398443",NULL
"770","72","299","40","A","1724398443",NULL
"771","72","299","41","A","1724398443",NULL
"772","72","299","42","A","1724398443",NULL
"773","72","299","43","A","1724398443",NULL
"774","72","299","46","A","1724398443",NULL
"775","73","367","1","A","1762339310",NULL
"776","73","367","6","A","1762339310",NULL
"777","73","367","7","A","1762339310",NULL
"778","73","367","8","A","1762339310",NULL
"779","73","367","9","A","1762339310",NULL
"780","6","6","53","A","1780387297",NULL
"781","6","6","54","A","1780387297",NULL
"782","6","6","55","A","1780387297",NULL
"783","6","6","56","A","1780387297",NULL
"784","6","6","57","A","1780387297",NULL
"785","6","6","58","A","1780387297",NULL
"786","6","6","59","A","1780387297",NULL
"787","6","6","60","A","1780387297",NULL
"788","6","6","61","A","1780387297",NULL
"789","6","6","62","A","1780387297",NULL
"790","6","6","63","A","1780387297",NULL
"791","6","6","64","A","1780387297",NULL
"792","6","6","65","A","1780387297",NULL
"793","6","6","66","A","1780387297",NULL
"794","6","6","67","A","1780387297",NULL
"795","6","6","68","A","1780387297",NULL
"796","6","6","69","A","1780387297",NULL
"797","6","6","70","A","1780387297",NULL
"798","6","6","71","A","1780387297",NULL
"799","6","6","72","A","1780387297",NULL
